"","player_id","All-NBA 2nd Team","All-NBA 1st Team","All-Defense 1st Team","All-Defense 2nd Team","All-Rookie 1st Team","All-NBA 3rd Team","All-Rookie 2nd Team"
"1",21,0,0,0,0,0,0,0
"2",27,0,0,0,0,0,0,0
"3",36,0,0,0,0,0,0,0
"4",54,0,0,0,0,0,0,0
"5",56,0,0,0,0,0,0,0
"6",59,0,0,0,0,0,0,0
"7",61,0,0,0,0,0,0,0
"8",88,0,0,0,0,0,0,0
"9",99,1,0,0,0,0,0,0
"10",103,0,0,0,0,0,0,0
"11",111,0,0,0,0,0,0,0
"12",120,0,1,0,0,0,0,0
"13",148,0,0,0,0,0,0,0
"14",162,2,0,0,0,0,0,0
"15",167,0,0,0,0,0,0,0
"16",169,1,0,0,0,0,0,0
"17",195,2,0,0,0,0,0,0
"18",209,0,0,0,0,0,0,0
"19",216,1,3,0,0,0,0,0
"20",219,3,0,0,0,0,0,0
"21",246,0,5,0,0,0,0,0
"22",248,1,1,0,0,0,0,0
"23",261,2,1,0,0,0,0,0
"24",296,1,0,0,0,0,0,0
"25",299,0,2,0,0,0,0,0
"26",325,1,0,0,0,0,0,0
"27",328,6,6,0,0,0,0,0
"28",337,1,3,0,0,0,0,0
"29",344,2,0,0,0,0,0,0
"30",345,1,0,0,0,0,0,0
"31",399,1,1,0,0,0,0,0
"32",406,5,0,0,0,0,0,0
"33",410,4,0,0,0,0,0,0
"34",419,3,4,0,0,0,0,0
"35",420,2,10,0,0,0,0,0
"36",441,1,1,0,0,0,0,0
"37",445,1,3,0,0,0,0,0
"38",469,1,4,0,0,0,0,0
"39",516,1,0,0,0,0,0,0
"40",528,1,1,0,0,0,0,0
"41",532,1,0,0,0,0,0,0
"42",549,1,10,0,0,0,0,0
"43",563,1,1,0,0,0,0,0
"44",570,1,0,0,0,0,0,0
"45",589,1,0,0,0,0,0,0
"46",596,2,0,0,0,0,0,0
"47",602,3,0,0,0,0,0,0
"48",607,1,0,0,0,0,0,0
"49",610,8,3,1,0,0,0,0
"50",615,2,0,0,0,0,0,0
"51",628,3,0,0,0,0,0,0
"52",633,4,0,0,0,0,0,0
"53",652,3,0,0,0,0,0,0
"54",664,0,10,0,0,0,0,0
"55",666,7,0,0,0,0,0,0
"56",681,1,0,0,0,0,0,0
"57",694,0,0,0,1,0,0,0
"58",699,3,7,2,0,0,0,0
"59",710,2,10,4,1,0,0,0
"60",713,2,9,0,0,0,0,0
"61",718,0,0,0,1,0,0,0
"62",757,0,0,0,2,0,0,0
"63",762,0,0,0,0,1,0,0
"64",767,1,0,6,0,1,0,0
"65",778,7,4,5,3,1,0,0
"66",788,0,0,0,0,1,0,0
"67",791,0,0,0,0,1,0,0
"68",792,0,0,0,0,1,0,0
"69",797,4,0,2,0,1,0,0
"70",801,2,3,0,0,1,0,0
"71",809,0,0,2,3,1,0,0
"72",811,0,0,0,0,1,0,0
"73",822,0,0,0,0,1,0,0
"74",825,0,0,0,0,1,0,0
"75",826,0,0,1,1,1,0,0
"76",829,0,0,0,0,0,0,0
"77",831,0,0,0,0,1,0,0
"78",834,0,0,2,3,0,0,0
"79",837,0,0,0,0,1,0,0
"80",839,4,1,1,0,1,0,0
"81",842,1,3,0,0,1,0,0
"82",846,0,0,0,1,1,0,0
"83",847,0,0,0,0,1,0,0
"84",848,0,1,0,0,0,0,0
"85",849,0,0,4,2,0,0,0
"86",856,1,5,0,0,1,0,0
"87",860,0,0,0,0,1,0,0
"88",863,1,0,0,0,0,0,0
"89",864,0,0,0,0,0,0,0
"90",866,2,0,0,3,0,0,0
"91",867,0,0,0,0,1,0,0
"92",869,1,2,0,0,1,0,0
"93",874,0,0,0,0,1,0,0
"94",880,0,0,0,0,1,0,0
"95",887,1,0,0,0,1,0,0
"96",898,0,0,0,0,1,0,0
"97",914,0,0,0,0,1,0,0
"98",916,0,0,0,0,1,0,0
"99",917,0,0,0,0,0,0,0
"100",929,0,0,0,0,0,0,0
"101",931,0,0,0,0,0,0,0
"102",934,0,1,0,0,0,0,0
"103",947,0,0,0,0,0,0,0
"104",948,0,0,0,0,0,0,0
"105",949,0,1,0,0,1,0,0
"106",983,0,0,0,0,1,0,0
"107",987,0,0,0,0,0,0,0
"108",998,0,0,0,0,0,0,0
"109",1008,0,0,0,0,1,0,0
"110",1013,0,0,0,0,1,0,0
"111",1021,0,0,0,0,1,0,0
"112",1026,0,0,0,0,0,0,0
"113",1034,0,0,0,0,0,0,0
"114",1059,0,0,0,0,1,0,0
"115",1061,2,4,7,0,1,0,0
"116",1069,0,0,0,0,1,0,0
"117",1072,0,0,0,0,1,0,0
"118",1092,0,0,0,5,0,0,0
"119",1101,3,3,0,2,1,0,0
"120",1105,0,0,0,0,1,0,0
"121",1106,0,0,0,0,1,0,0
"122",1123,0,0,0,0,1,0,0
"123",1130,0,0,0,1,0,0,0
"124",1141,0,0,0,0,1,0,0
"125",1152,0,0,0,0,1,0,0
"126",1153,0,0,0,0,1,0,0
"127",1155,0,1,0,0,1,0,0
"128",1168,1,0,1,0,1,0,0
"129",1179,0,0,0,0,1,0,0
"130",1182,0,0,2,0,0,0,0
"131",1197,2,0,0,0,1,0,0
"132",1199,0,0,0,0,1,0,0
"133",1202,0,0,2,0,0,0,0
"134",1204,5,10,5,6,1,0,0
"135",1207,0,0,0,0,0,0,0
"136",1214,0,0,0,0,1,0,0
"137",1215,0,0,0,0,1,0,0
"138",1216,0,0,0,0,1,0,0
"139",1219,1,0,3,5,0,0,0
"140",1226,2,2,0,0,1,0,0
"141",1232,0,0,1,0,0,0,0
"142",1236,0,0,2,0,1,0,0
"143",1244,0,0,0,0,1,0,0
"144",1247,0,0,0,0,1,0,0
"145",1250,0,0,0,0,1,0,0
"146",1259,0,0,0,0,1,0,0
"147",1260,3,0,1,2,1,0,0
"148",1276,0,0,0,0,1,0,0
"149",1295,0,0,0,0,1,0,0
"150",1315,2,2,0,0,1,0,0
"151",1317,0,0,0,0,0,0,0
"152",1325,0,0,0,0,1,0,0
"153",1329,2,3,0,0,0,0,0
"154",1334,0,0,0,0,1,0,0
"155",1338,0,0,4,1,1,0,0
"156",1339,0,0,0,0,1,0,0
"157",1348,0,0,0,0,1,0,0
"158",1357,0,0,0,0,1,0,0
"159",1362,1,1,0,0,1,0,0
"160",1374,0,0,0,1,0,0,0
"161",1379,0,0,0,0,1,0,0
"162",1380,0,0,0,0,1,0,0
"163",1381,2,5,1,0,1,0,0
"164",1388,0,0,2,0,0,0,0
"165",1394,1,0,0,0,1,0,0
"166",1397,1,0,0,0,0,0,0
"167",1403,0,0,0,0,1,0,0
"168",1406,0,0,1,0,0,0,0
"169",1424,1,1,0,0,1,0,0
"170",1427,0,0,2,1,1,0,0
"171",1438,0,0,0,0,1,0,0
"172",1439,0,0,6,0,0,0,0
"173",1440,0,0,0,0,1,0,0
"174",1444,0,0,0,0,1,0,0
"175",1447,2,5,0,0,1,0,0
"176",1448,0,0,0,1,0,0,0
"177",1453,0,0,0,0,1,0,0
"178",1454,0,0,0,0,1,0,0
"179",1455,0,0,0,1,1,0,0
"180",1461,0,0,0,0,1,0,0
"181",1469,1,3,0,0,0,0,0
"182",1493,0,0,0,0,1,0,0
"183",1495,0,0,2,0,0,0,0
"184",1501,0,0,1,1,0,0,0
"185",1503,0,0,0,0,1,0,0
"186",1508,0,0,0,2,0,0,0
"187",1513,0,0,0,0,1,0,0
"188",1514,0,0,0,0,1,0,0
"189",1516,0,0,0,2,0,0,0
"190",1520,0,0,0,0,1,0,0
"191",1526,0,0,0,0,1,0,0
"192",1528,0,0,0,0,1,0,0
"193",1531,0,0,0,0,1,0,0
"194",1535,0,0,0,0,1,0,0
"195",1539,0,0,1,0,0,0,0
"196",1541,0,0,0,0,1,0,0
"197",1556,1,1,2,0,0,0,0
"198",1558,0,0,0,0,1,0,0
"199",1559,0,0,10,1,1,0,0
"200",1561,0,0,0,0,1,0,0
"201",1584,0,0,0,0,1,0,0
"202",1587,0,0,0,2,1,0,0
"203",1591,0,0,0,0,1,0,0
"204",1601,0,0,0,0,1,0,0
"205",1602,1,0,1,1,0,0,0
"206",1605,4,4,1,1,1,0,0
"207",1609,1,0,0,1,0,0,0
"208",1613,0,0,0,1,1,0,0
"209",1617,0,0,0,0,1,0,0
"210",1619,0,1,0,0,0,0,0
"211",1624,0,0,0,0,1,0,0
"212",1628,0,0,0,1,0,0,0
"213",1634,1,0,3,2,0,0,0
"214",1637,0,2,0,0,1,0,0
"215",1647,1,1,0,0,1,0,0
"216",1658,0,0,0,0,1,0,0
"217",1661,0,0,0,0,1,0,0
"218",1667,0,0,0,0,1,0,0
"219",1670,0,0,1,1,1,0,0
"220",1671,0,0,0,1,1,0,0
"221",1672,0,0,0,0,1,0,0
"222",1686,0,0,0,0,1,0,0
