"","player","first_seas","Finals MVP","Championships"
"1","Alaa Abdelnaby",1991,0,0
"2","Zaid Abdul-Aziz",1969,0,0
"3","Kareem Abdul-Jabbar",1970,2,6
"4","Mahmoud Abdul-Rauf",1991,0,0
"5","Tariq Abdul-Wahad",1998,0,0
"6","Shareef Abdur-Rahim",1997,0,0
"7","Tom Abernethy",1977,0,0
"8","Forest Able",1957,0,0
"9","John Abramovic",1947,0,0
"10","Álex Abrines",2017,0,0
"11","Precious Achiuwa",2021,0,0
"12","Alex Acker",2006,0,0
"13","Don Ackerman",1954,0,0
"14","Mark Acres",1988,0,0
"15","Bud Acton",1968,0,0
"16","Quincy Acy",2013,0,0
"17","Alvan Adams",1976,0,0
"18","Don Adams",1971,0,0
"19","George Adams",1973,0,0
"20","Hassan Adams",2007,0,0
"21","Jaylen Adams",2019,0,0
"22","Jordan Adams",2015,0,0
"23","Michael Adams",1986,0,0
"24","Steven Adams",2014,0,0
"25","Rafael Addison",1987,0,0
"26","Bam Adebayo",2018,0,0
"27","Deng Adel",2019,0,0
"28","Rick Adelman",1969,0,0
"29","Jeff Adrien",2011,0,0
"30","Arron Afflalo",2008,0,0
"31","Maurice Ager",2007,0,0
"32","Mark Aguirre",1982,0,2
"33","Blake Ahearn",2008,0,0
"34","Danny Ainge",1982,0,2
"35","Matthew Aitch",1968,0,0
"36","Alexis Ajinça",2009,0,0
"37","Henry Akin",1967,0,0
"38","Josh Akognon",2013,0,0
"39","DeVaughn Akoon-Purcell",2019,0,0
"40","Solomon Alabi",2011,0,0
"41","Mark Alarie",1987,0,0
"42","Gary Alcorn",1960,0,0
"43","Santi Aldama",2022,0,0
"44","Furkan Aldemir",2015,0,0
"45","Cole Aldrich",2011,0,0
"46","LaMarcus Aldridge",2007,0,0
"47","Chuck Aleksinas",1985,0,0
"48","Cliff Alexander",2016,0,0
"49","Cory Alexander",1996,0,0
"50","Courtney Alexander",2001,0,0
"51","Gary Alexander",1994,0,0
"52","Joe Alexander",2009,0,0
"53","Kyle Alexander",2020,0,0
"54","Ty-Shon Alexander",2021,0,0
"55","Victor Alexander",1992,0,0
"56","Nickeil Alexander-Walker",2020,0,0
"57","Steve Alford",1988,0,0
"58","Rawle Alkins",2019,0,0
"59","Bill Allen",1968,0,0
"60","Bob Allen",1969,0,0
"61","Grayson Allen",2019,0,0
"62","Jarrett Allen",2018,0,0
"63","Jerome Allen",1996,0,0
"64","Kadeem Allen",2018,0,0
"65","Lavoy Allen",2012,0,0
"66","Lucius Allen",1970,0,0
"67","Malik Allen",2002,0,0
