player,ppg,apg,rpg,bpg,num_seasons,MVPs,Finals_MVP,Championships,ROTY,DPOTY,CPOY,NBA1st,NBA2nd,NBA3rd,DEF1st,DEF2nd,AllStarCount,hof
Alfred McGuir,3.9633507853,1.9005235602,2.1884816754,0.0,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,True
Bill Tosheff,9.157635468,3.2561576355,2.9950738916,0.0,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Bob Wilson,3.746031746,1.7142857143,3.3333333333,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Chuck Share,8.2684563758,1.3573825503,8.3657718121,0.0,9,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Dave Minor,7.5603448276,2.4827586207,4.5431034483,0.0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Dick Dickey,2.8222222222,1.1111111111,1.8,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Don Savage,3.1764705882,0.8235294118,1.8235294118,0.0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Ed Dahler,2.5,0.3571428571,1.5714285714,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Elmer Behnke,4.0,1.0,4.25,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
George King,10.265206813,4.7639902676,3.9075425791,0.0,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Jack Kiley,2.3396226415,1.2264150943,0.9622641509,0.0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Jake Fendley,2.786407767,0.9126213592,1.2233009709,0.0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Jerry Fowler,1.5,0.3333333333,1.6666666667,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Jim Slaughter,5.25,0.8928571429,5.2857142857,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
John McConath,1.2727272727,0.7272727273,1.8181818182,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
John Pilch,0.5555555556,0.2222222222,1.0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
